Ward,State,District,Subdistt,Town/Village,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
64,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0064,Urban,886,4825,2415,2410,576,306,270,32,17,15,0,0,0,3869,1987,1882,956,428,528,1580,1257,323,1453,1180,273,48,42,6,13,11,2,151,82,69,1241,1045,196,127,77,50,3,1,2,8,7,1,29,6,23,87,63,24,109,69,40,2,1,1,8,7,1,24,6,18,75,55,20,18,8,10,1,0,1,0,0,0,5,0,5,12,8,4,3245,1158,2087
65,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0065,Urban,1095,5341,2559,2782,681,361,320,1969,917,1052,9,5,4,3301,1728,1573,2040,831,1209,1683,1228,455,1281,983,298,20,11,9,67,53,14,52,32,20,1142,887,255,402,245,157,3,1,2,15,4,11,89,61,28,295,179,116,126,58,68,3,1,2,11,2,9,22,9,13,90,46,44,276,187,89,0,0,0,4,2,2,67,52,15,205,133,72,3658,1331,2327
66,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0066,Urban,1771,8584,4331,4253,1050,557,493,1882,911,971,159,84,75,5885,3183,2702,2699,1148,1551,2704,2138,566,2459,1961,498,66,48,18,259,158,101,43,33,10,2091,1722,369,245,177,68,11,6,5,32,26,6,19,9,10,183,136,47,216,163,53,9,6,3,32,26,6,14,8,6,161,123,38,29,14,15,2,0,2,0,0,0,5,1,4,22,13,9,5880,2193,3687
67,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0067,Urban,1902,8177,4198,3979,731,401,330,698,354,344,153,79,74,6767,3534,3233,1410,664,746,2632,2097,535,2448,1977,471,47,44,3,46,40,6,87,61,26,2268,1832,436,184,120,64,6,3,3,24,19,5,12,10,2,142,88,54,176,117,59,6,3,3,24,19,5,12,10,2,134,85,49,8,3,5,0,0,0,0,0,0,0,0,0,8,3,5,5545,2101,3444
68,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0068,Urban,2590,11855,6101,5754,1423,768,655,1740,893,847,174,97,77,8869,4769,4100,2986,1332,1654,4006,3228,778,3698,3034,664,20,18,2,67,36,31,144,85,59,3467,2895,572,308,194,114,6,2,4,18,7,11,20,4,16,264,181,83,180,105,75,6,2,4,16,7,9,9,3,6,149,93,56,128,89,39,0,0,0,2,0,2,11,1,10,115,88,27,7849,2873,4976
69,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0069,Urban,1566,7310,3486,3824,901,444,457,2604,1267,1337,44,18,26,4725,2476,2249,2585,1010,1575,2564,1819,745,2261,1687,574,15,12,3,57,36,21,46,25,21,2143,1614,529,303,132,171,8,3,5,10,8,2,15,3,12,270,118,152,264,116,148,8,3,5,4,3,1,8,2,6,244,108,136,39,16,23,0,0,0,6,5,1,7,1,6,26,10,16,4746,1667,3079
70,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0070,Urban,1517,7391,3746,3645,846,411,435,1070,534,536,29,11,18,5762,3037,2725,1629,709,920,2787,2068,719,2318,1749,569,14,12,2,21,14,7,175,64,111,2108,1659,449,469,319,150,11,6,5,8,3,5,40,10,30,410,300,110,409,287,122,10,5,5,7,2,5,30,8,22,362,272,90,60,32,28,1,1,0,1,1,0,10,2,8,48,28,20,4604,1678,2926
71,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0071,Urban,1747,8248,4172,4076,1030,515,515,892,421,471,60,36,24,6122,3220,2902,2126,952,1174,3011,2348,663,2539,2059,480,27,24,3,46,36,10,178,114,64,2288,1885,403,472,289,183,18,8,10,27,23,4,32,16,16,395,242,153,366,217,149,18,8,10,16,12,4,20,12,8,312,185,127,106,72,34,0,0,0,11,11,0,12,4,8,83,57,26,5237,1824,3413
72,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0072,Urban,1131,5392,2758,2634,518,279,239,326,161,165,64,34,30,4299,2314,1985,1093,444,649,1757,1466,291,1629,1383,246,177,164,13,97,67,30,114,94,20,1241,1058,183,128,83,45,8,2,6,27,13,14,16,11,5,77,57,20,115,73,42,5,2,3,27,13,14,15,10,5,68,48,20,13,10,3,3,0,3,0,0,0,1,1,0,9,9,0,3635,1292,2343
73,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0073,Urban,1213,6275,3182,3093,721,406,315,858,428,430,6,3,3,4926,2561,2365,1349,621,728,1984,1637,347,1843,1551,292,146,133,13,41,35,6,183,107,76,1473,1276,197,141,86,55,7,5,2,2,2,0,15,2,13,117,77,40,130,80,50,7,5,2,2,2,0,15,2,13,106,71,35,11,6,5,0,0,0,0,0,0,0,0,0,11,6,5,4291,1545,2746
74,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0074,Urban,1574,7734,3866,3868,1016,529,487,2316,1127,1189,263,127,136,4472,2451,2021,3262,1415,1847,2825,2006,819,2239,1630,609,284,243,41,541,327,214,33,31,2,1381,1029,352,586,376,210,5,3,2,35,18,17,8,7,1,538,348,190,515,327,188,3,2,1,26,16,10,6,5,1,480,304,176,71,49,22,2,1,1,9,2,7,2,2,0,58,44,14,4909,1860,3049
